;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Growth (70-80);Growth (80-90);Growth (90-00);Growth (00-10);Growth (10-20);Growth (20-22);Population;Year
49;37;POL;Poland;Warsaw;Europe;312679;127.4698;1.0404;0.5;0.18303215321345728;0.09354097010237035;0.07158568986624947;0.011564025093884012;0.013845107852652075;-0.00437820179015903;0.03718032143235026;35521429;1980
50;37;POL;Poland;Warsaw;Europe;312679;127.4698;1.0404;0.5;0.18303215321345728;0.09354097010237035;0.07158568986624947;0.011564025093884012;0.013845107852652075;-0.00437820179015903;0.03718032143235026;38064255;1990
51;37;POL;Poland;Warsaw;Europe;312679;127.4698;1.0404;0.5;0.18303215321345728;0.09354097010237035;0.07158568986624947;0.011564025093884012;0.013845107852652075;-0.00437820179015903;0.03718032143235026;38504431;2000
52;37;POL;Poland;Warsaw;Europe;312679;127.4698;1.0404;0.5;0.18303215321345728;0.09354097010237035;0.07158568986624947;0.011564025093884012;0.013845107852652075;-0.00437820179015903;0.03718032143235026;38597353;2010
53;37;POL;Poland;Warsaw;Europe;312679;127.4698;1.0404;0.5;0.18303215321345728;0.09354097010237035;0.07158568986624947;0.011564025093884012;0.013845107852652075;-0.00437820179015903;0.03718032143235026;38553146;2015
54;37;POL;Poland;Warsaw;Europe;312679;127.4698;1.0404;0.5;0.18303215321345728;0.09354097010237035;0.07158568986624947;0.011564025093884012;0.013845107852652075;-0.00437820179015903;0.03718032143235026;38428366;2020
55;37;POL;Poland;Warsaw;Europe;312679;127.4698;1.0404;0.5;0.18303215321345728;0.09354097010237035;0.07158568986624947;0.011564025093884012;0.013845107852652075;-0.00437820179015903;0.03718032143235026;39857145;2022
56;38;UKR;Ukraine;Kiev;Europe;603500;65.7858;0.912;0.5;-0.07126660612686125;0.0569984368987167;0.03233480583472339;-0.05253094811326817;-0.1208434248494085;-0.038818668292945606;-0.09583145087006582;47279086;1970
57;38;UKR;Ukraine;Kiev;Europe;603500;65.7858;0.912;0.5;-0.07126660612686125;0.0569984368987167;0.03233480583472339;-0.05253094811326817;-0.1208434248494085;-0.038818668292945606;-0.09583145087006582;49973920;1980
58;38;UKR;Ukraine;Kiev;Europe;603500;65.7858;0.912;0.5;-0.07126660612686125;0.0569984368987167;0.03233480583472339;-0.05253094811326817;-0.1208434248494085;-0.038818668292945606;-0.09583145087006582;51589817;1990
