;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;value;Year
125;215;MHL;Marshall Islands;Majuro;Oceania;181;229.663;0.9886;0.0;1.8112144853769452;49410;2015
126;215;MHL;Marshall Islands;Majuro;Oceania;181;229.663;0.9886;0.0;1.8112144853769452;43413;2020
127;215;MHL;Marshall Islands;Majuro;Oceania;181;229.663;0.9886;0.0;1.8112144853769452;41569;2022
128;222;PLW;Palau;Ngerulmud;Oceania;459;39.3355;1.0017;0.0;1.5812071089213444;11366;1970
129;222;PLW;Palau;Ngerulmud;Oceania;459;39.3355;1.0017;0.0;1.5812071089213444;12252;1980
130;222;PLW;Palau;Ngerulmud;Oceania;459;39.3355;1.0017;0.0;1.5812071089213444;15293;1990
131;222;PLW;Palau;Ngerulmud;Oceania;459;39.3355;1.0017;0.0;1.5812071089213444;19726;2000
132;222;PLW;Palau;Ngerulmud;Oceania;459;39.3355;1.0017;0.0;1.5812071089213444;18540;2010
133;222;PLW;Palau;Ngerulmud;Oceania;459;39.3355;1.0017;0.0;1.5812071089213444;17794;2015
134;222;PLW;Palau;Ngerulmud;Oceania;459;39.3355;1.0017;0.0;1.5812071089213444;17972;2020
135;222;PLW;Palau;Ngerulmud;Oceania;459;39.3355;1.0017;0.0;1.5812071089213444;18055;2022
136;223;COK;Cook Islands;Avarua;Oceania;236;72.0805;1.0005;0.0;0.8319003419638495;20470;1970
137;223;COK;Cook Islands;Avarua;Oceania;236;72.0805;1.0005;0.0;0.8319003419638495;17651;1980
138;223;COK;Cook Islands;Avarua;Oceania;236;72.0805;1.0005;0.0;0.8319003419638495;17123;1990
139;223;COK;Cook Islands;Avarua;Oceania;236;72.0805;1.0005;0.0;0.8319003419638495;15897;2000
140;223;COK;Cook Islands;Avarua;Oceania;236;72.0805;1.0005;0.0;0.8319003419638495;17212;2010
141;223;COK;Cook Islands;Avarua;Oceania;236;72.0805;1.0005;0.0;0.8319003419638495;17695;2015
142;223;COK;Cook Islands;Avarua;Oceania;236;72.0805;1.0005;0.0;0.8319003419638495;17029;2020
143;223;COK;Cook Islands;Avarua;Oceania;236;72.0805;1.0005;0.0;0.8319003419638495;17011;2022
144;225;NRU;Nauru;Yaren;Oceania;21;603.2381;1.0125;0.0;1.8482665466006303;6663;1970
145;225;NRU;Nauru;Yaren;Oceania;21;603.2381;1.0125;0.0;1.8482665466006303;7635;1980
146;225;NRU;Nauru;Yaren;Oceania;21;603.2381;1.0125;0.0;1.8482665466006303;9598;1990
147;225;NRU;Nauru;Yaren;Oceania;21;603.2381;1.0125;0.0;1.8482665466006303;10377;2000
148;225;NRU;Nauru;Yaren;Oceania;21;603.2381;1.0125;0.0;1.8482665466006303;10241;2010
149;225;NRU;Nauru;Yaren;Oceania;21;603.2381;1.0125;0.0;1.8482665466006303;11185;2015
150;225;NRU;Nauru;Yaren;Oceania;21;603.2381;1.0125;0.0;1.8482665466006303;12315;2020
151;225;NRU;Nauru;Yaren;Oceania;21;603.2381;1.0125;0.0;1.8482665466006303;12668;2022
152;226;WLF;Wallis and Futuna;Mata-Utu;Oceania;142;81.493;0.9953;0.0;1.2429348405673457;9377;1970
153;226;WLF;Wallis and Futuna;Mata-Utu;Oceania;142;81.493;0.9953;0.0;1.2429348405673457;11315;1980
