;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Growth (70-80);Growth (80-90);Growth (90-00);Growth (00-10);Growth (10-20);Growth (20-22);Population;Year
57;31;UGA;Uganda;Kampala;Africa;241550;195.61;1.0304;0.59;3.3039351134783312;0.28755966243593717;0.3238930727777859;0.3658499098462866;0.6142660223389854;0.37298201877153875;0.06406933730373181;13284026;1980
58;31;UGA;Uganda;Kampala;Africa;241550;195.61;1.0304;0.59;3.3039351134783312;0.28755966243593717;0.3238930727777859;0.3658499098462866;0.6142660223389854;0.37298201877153875;0.06406933730373181;17586630;1990
59;31;UGA;Uganda;Kampala;Africa;241550;195.61;1.0304;0.59;3.3039351134783312;0.28755966243593717;0.3238930727777859;0.3658499098462866;0.6142660223389854;0.37298201877153875;0.06406933730373181;24020697;2000
60;31;UGA;Uganda;Kampala;Africa;241550;195.61;1.0304;0.59;3.3039351134783312;0.28755966243593717;0.3238930727777859;0.3658499098462866;0.6142660223389854;0.37298201877153875;0.06406933730373181;32341728;2010
61;31;UGA;Uganda;Kampala;Africa;241550;195.61;1.0304;0.59;3.3039351134783312;0.28755966243593717;0.3238930727777859;0.3658499098462866;0.6142660223389854;0.37298201877153875;0.06406933730373181;37477356;2015
62;31;UGA;Uganda;Kampala;Africa;241550;195.61;1.0304;0.59;3.3039351134783312;0.28755966243593717;0.3238930727777859;0.3658499098462866;0.6142660223389854;0.37298201877153875;0.06406933730373181;44404611;2020
63;31;UGA;Uganda;Kampala;Africa;241550;195.61;1.0304;0.59;3.3039351134783312;0.28755966243593717;0.3238930727777859;0.3658499098462866;0.6142660223389854;0.37298201877153875;0.06406933730373181;47249585;2022
64;32;SDN;Sudan;Khartoum;Africa;1886068;24.8529;1.0267;0.59;2.9309753400336094;0.4748591047345798;0.2649280124863362;0.24692594706547652;0.4809747968089614;0.31714802160395517;0.05476353251402336;11305206;1970
65;32;SDN;Sudan;Khartoum;Africa;1886068;24.8529;1.0267;0.59;2.9309753400336094;0.4748591047345798;0.2649280124863362;0.24692594706547652;0.4809747968089614;0.31714802160395517;0.05476353251402336;16673586;1980
66;32;SDN;Sudan;Khartoum;Africa;1886068;24.8529;1.0267;0.59;2.9309753400336094;0.4748591047345798;0.2649280124863362;0.24692594706547652;0.4809747968089614;0.31714802160395517;0.05476353251402336;21090886;1990
67;32;SDN;Sudan;Khartoum;Africa;1886068;24.8529;1.0267;0.59;2.9309753400336094;0.4748591047345798;0.2649280124863362;0.24692594706547652;0.4809747968089614;0.31714802160395517;0.05476353251402336;26298773;2000
68;32;SDN;Sudan;Khartoum;Africa;1886068;24.8529;1.0267;0.59;2.9309753400336094;0.4748591047345798;0.2649280124863362;0.24692594706547652;0.4809747968089614;0.31714802160395517;0.05476353251402336;33739933;2010
69;32;SDN;Sudan;Khartoum;Africa;1886068;24.8529;1.0267;0.59;2.9309753400336094;0.4748591047345798;0.2649280124863362;0.24692594706547652;0.4809747968089614;0.31714802160395517;0.05476353251402336;38171178;2015
70;32;SDN;Sudan;Khartoum;Africa;1886068;24.8529;1.0267;0.59;2.9309753400336094;0.4748591047345798;0.2649280124863362;0.24692594706547652;0.4809747968089614;0.31714802160395517;0.05476353251402336;44440486;2020
71;32;SDN;Sudan;Khartoum;Africa;1886068;24.8529;1.0267;0.59;2.9309753400336094;0.4748591047345798;0.2649280124863362;0.24692594706547652;0.4809747968089614;0.31714802160395517;0.05476353251402336;46874204;2022
72;34;DZA;Algeria;Algiers;Africa;2381741;18.8531;1.0164;0.56;2.1496037776399755;0.3583280268108349;0.3617353788370137;0.20599309336590216;0.3359349250799872;0.21182644834063394;0.03340629102690792;13795915;1970
73;34;DZA;Algeria;Algiers;Africa;2381741;18.8531;1.0164;0.56;2.1496037776399755;0.3583280268108349;0.3617353788370137;0.20599309336590216;0.3359349250799872;0.21182644834063394;0.03340629102690792;18739378;1980
