;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;value;Year
857;108;BGR;Bulgaria;Sofia;Europe;110879;61.1654;0.9849;0.09;0.8131440821628927;8980606;1980
858;108;BGR;Bulgaria;Sofia;Europe;110879;61.1654;0.9849;0.09;0.8131440821628927;8767778;1990
859;108;BGR;Bulgaria;Sofia;Europe;110879;61.1654;0.9849;0.09;0.8131440821628927;8097691;2000
860;108;BGR;Bulgaria;Sofia;Europe;110879;61.1654;0.9849;0.09;0.8131440821628927;7592273;2010
861;108;BGR;Bulgaria;Sofia;Europe;110879;61.1654;0.9849;0.09;0.8131440821628927;7309253;2015
862;108;BGR;Bulgaria;Sofia;Europe;110879;61.1654;0.9849;0.09;0.8131440821628927;6979175;2020
863;108;BGR;Bulgaria;Sofia;Europe;110879;61.1654;0.9849;0.09;0.8131440821628927;6781953;2022
912;115;DNK;Denmark;Copenhagen;Europe;43094;136.4984;1.0048;0.07;1.1833607118314722;4922963;1970
913;115;DNK;Denmark;Copenhagen;Europe;43094;136.4984;1.0048;0.07;1.1833607118314722;5125392;1980
914;115;DNK;Denmark;Copenhagen;Europe;43094;136.4984;1.0048;0.07;1.1833607118314722;5144623;1990
915;115;DNK;Denmark;Copenhagen;Europe;43094;136.4984;1.0048;0.07;1.1833607118314722;5340655;2000
916;115;DNK;Denmark;Copenhagen;Europe;43094;136.4984;1.0048;0.07;1.1833607118314722;5550849;2010
917;115;DNK;Denmark;Copenhagen;Europe;43094;136.4984;1.0048;0.07;1.1833607118314722;5677796;2015
918;115;DNK;Denmark;Copenhagen;Europe;43094;136.4984;1.0048;0.07;1.1833607118314722;5825641;2020
919;115;DNK;Denmark;Copenhagen;Europe;43094;136.4984;1.0048;0.07;1.1833607118314722;5882261;2022
920;116;SVK;Slovakia;Bratislava;Europe;49037;115.0856;1.0359;0.07;1.2064650585568844;4522867;1970
921;116;SVK;Slovakia;Bratislava;Europe;49037;115.0856;1.0359;0.07;1.2064650585568844;4973883;1980
922;116;SVK;Slovakia;Bratislava;Europe;49037;115.0856;1.0359;0.07;1.2064650585568844;5261305;1990
923;116;SVK;Slovakia;Bratislava;Europe;49037;115.0856;1.0359;0.07;1.2064650585568844;5376690;2000
924;116;SVK;Slovakia;Bratislava;Europe;49037;115.0856;1.0359;0.07;1.2064650585568844;5396424;2010
925;116;SVK;Slovakia;Bratislava;Europe;49037;115.0856;1.0359;0.07;1.2064650585568844;5424444;2015
926;116;SVK;Slovakia;Bratislava;Europe;49037;115.0856;1.0359;0.07;1.2064650585568844;5456681;2020
927;116;SVK;Slovakia;Bratislava;Europe;49037;115.0856;1.0359;0.07;1.2064650585568844;5643453;2022
936;118;FIN;Finland;Helsinki;Europe;338424;16.3722;1.0009;0.07;1.2003305676763945;4606621;1970
937;118;FIN;Finland;Helsinki;Europe;338424;16.3722;1.0009;0.07;1.2003305676763945;4779418;1980
938;118;FIN;Finland;Helsinki;Europe;338424;16.3722;1.0009;0.07;1.2003305676763945;4986545;1990
939;118;FIN;Finland;Helsinki;Europe;338424;16.3722;1.0009;0.07;1.2003305676763945;5176209;2000
940;118;FIN;Finland;Helsinki;Europe;338424;16.3722;1.0009;0.07;1.2003305676763945;5363271;2010
941;118;FIN;Finland;Helsinki;Europe;338424;16.3722;1.0009;0.07;1.2003305676763945;5479461;2015
942;118;FIN;Finland;Helsinki;Europe;338424;16.3722;1.0009;0.07;1.2003305676763945;5529468;2020
943;118;FIN;Finland;Helsinki;Europe;338424;16.3722;1.0009;0.07;1.2003305676763945;5540745;2022
992;125;IRL;Ireland;Dublin;Europe;70273;71.4799;1.0073;0.06;1.6837066662763303;2937637;1970
993;125;IRL;Ireland;Dublin;Europe;70273;71.4799;1.0073;0.06;1.6837066662763303;3391387;1980
994;125;IRL;Ireland;Dublin;Europe;70273;71.4799;1.0073;0.06;1.6837066662763303;3485374;1990
995;125;IRL;Ireland;Dublin;Europe;70273;71.4799;1.0073;0.06;1.6837066662763303;3768950;2000
996;125;IRL;Ireland;Dublin;Europe;70273;71.4799;1.0073;0.06;1.6837066662763303;4524585;2010
997;125;IRL;Ireland;Dublin;Europe;70273;71.4799;1.0073;0.06;1.6837066662763303;4665760;2015
998;125;IRL;Ireland;Dublin;Europe;70273;71.4799;1.0073;0.06;1.6837066662763303;4946119;2020
999;125;IRL;Ireland;Dublin;Europe;70273;71.4799;1.0073;0.06;1.6837066662763303;5023109;2022
1032;130;HRV;Croatia;Zagreb;Europe;56594;71.2153;0.9927;0.05;0.9119069909483025;4492638;1970
1033;130;HRV;Croatia;Zagreb;Europe;56594;71.2153;0.9927;0.05;0.9119069909483025;4680144;1980
1034;130;HRV;Croatia;Zagreb;Europe;56594;71.2153;0.9927;0.05;0.9119069909483025;4873707;1990
